unique_satellite_id,predicted_gateway,actual_gateway_id,assigned_cells,actual_cell_ids
1433,20,20,"[0, 12, 155, 216, 217, 246, 269, 306, 313, 389, 419, 441, 487, 513, 516, 518, 532, 627, 636, 708, 773, 784, 847, 868, 876, 880, 939, 947, 977, 982, 1046, 1068, 1074, 1076, 1104, 1141, 1162, 1177, 1190, 1194, 1229, 1271, 1285, 1323, 1403, 1404, 1414, 1426, 1478, 1490, 1496, 1586, 1617, 1635, 1656, 1692, 1710, 1748, 1760, 1771, 1830, 1857, 1914, 2023, 2033, 2047, 2062, 2073, 2075, 2112, 2122, 2147, 2182, 2202, 2230, 2231, 2243, 2246, 2265, 2268, 2311, 2338, 2346, 2446, 2495, 2496, 2501, 2518, 2551, 2559, 2584, 2588, 2615, 2677, 2766, 2771, 2786, 2806, 2824, 2853, 2876, 2886, 2888, 2941, 2944, 2958, 2983, 2985, 3099, 3134, 3150, 3160, 3162, 3166, 3168, 3188, 3204, 3250, 3334, 3370, 3376, 3382, 3390, 3429, 3439, 3440, 3448, 3453, 3458, 3468, 3475, 3509, 3514, 3518, 3522, 3566, 3578, 3678, 3715, 3722, 3779, 3810, 3909, 3935, 3938, 3947, 3976, 3979, 4012, 4035, 4054, 4060, 4061, 4065, 4068, 4071, 4079, 4088, 4090, 4097, 4145, 4147, 4322, 4323, 4346, 4379, 4397, 4465]","[0, 12, 269, 313, 518, 532, 627, 683, 784, 847, 880, 953, 977, 982, 1046, 1126, 1162, 1177, 1190, 1271, 1293, 1404, 1414, 1496, 1586, 1620, 1748, 1771, 2073, 2075, 2112, 2122, 2147, 2157, 2182, 2202, 2246, 2265, 2268, 2311, 2399, 2494, 2495, 2526, 2559, 2588, 2771, 2786, 2806, 2824, 2921, 2983, 2985, 3012, 3166, 3188, 3249, 3250, 3257, 3334, 3370, 3376, 3412, 3440, 3468, 3509, 3522, 3671, 3779, 3810, 3847, 3909, 3938, 3947, 3976, 4012, 4035, 4060, 4065, 4068, 4071, 4097, 4323, 4465]"
30,53,53,"[1660, 1664, 1676, 1693, 1701, 1709, 1717, 1733, 1751, 1769, 1794, 1839, 1863, 1915, 1916, 1979, 1995, 2024, 2101, 2114, 2119, 2137, 2152, 2154, 2200, 2212, 2240, 2242, 2277, 2288, 2295, 2319, 2360, 2380, 2381, 2397, 2431, 2450, 2469, 2500, 2558, 2653, 2673, 2686, 2721, 2728, 2730, 2743, 2745, 2785]","[1, 13, 110, 264, 330, 340, 365, 376, 377, 381, 437, 543, 566, 614, 656, 666, 687, 698, 710, 740, 832, 920, 944, 963, 1132, 1147, 1191, 1249, 1273, 1418, 1425, 1650, 1715, 1749, 1769, 1794, 1803, 1919, 1979, 2024, 2086, 2101, 2114, 2128, 2159, 2342, 2381, 2397, 2500, 2521, 2558, 2648, 2653, 2723, 2753, 2858, 2974, 3037, 3049, 3068, 3084, 3145, 3227, 3307, 3481, 3544, 3549, 3622, 3707, 3716, 3944, 4004, 4018, 4020, 4055, 4099, 4250, 4353, 4402, 4447, 4480, 4490, 4516]"
1523,5,5,"[2485, 2488, 2491, 2541, 2565, 2583, 2605, 2616, 2622, 2640, 2652, 2659, 2684, 2699, 2714, 2715, 2726, 2733, 2751, 2755, 2790, 2803, 2808, 2822, 2848, 2887, 2908, 2910, 2913, 2935, 2950, 2953, 2990, 3005, 3046, 3066, 3079, 3086, 3088, 3089, 3092, 3093, 3172, 3179, 3182, 3211, 3220, 3235, 3256, 3262, 3267, 3283, 3329, 3345, 3352, 3360, 3366, 3379, 3388, 3411, 3427, 3438, 3456, 3457, 3470, 3489, 3492, 3517, 3539, 3570, 3579, 3595, 3621, 3633, 3650, 3665, 3682, 3710, 3731, 3753, 3759, 3786, 3837, 3849, 3868, 3876, 3905, 3930, 3967, 3971, 4024, 4044, 4046, 4066, 4077, 4084, 4093, 4113, 4122, 4141, 4150, 4197, 4210, 4218, 4251, 4257, 4289, 4297, 4309, 4325, 4342, 4367, 4374, 4375, 4409, 4416, 4438, 4442, 4457, 4504, 4511, 4527, 4534, 4545, 4564]","[2, 23, 99, 138, 387, 605, 961, 1090, 1143, 1893, 2155, 2440, 2513, 2616, 2726, 2919, 2933, 2990, 3103, 3321, 3345, 3592, 3682, 4023, 4199, 4457, 4478, 4534]"
189,30,30,"[1319, 1367, 1374, 1383, 1447, 1460, 1470, 1505, 1523, 1580, 1590, 1610, 1623, 1641, 1686, 1758, 1797, 1806, 1837, 1854, 1860, 1872, 1903, 2031, 2071, 2120, 2136, 2149, 2170, 2178, 2283, 2285, 2345, 2366, 2441, 2498, 2592, 2601, 2625, 2689, 2706]","[3, 10, 103, 166, 175, 225, 237, 266, 390, 494, 520, 563, 581, 606, 625, 685, 751, 814, 823, 1172, 1307, 1453, 1470, 1505, 1580, 1590, 1610, 1623, 1665, 1695, 1806, 2045, 2069, 2092, 2170, 2250, 2252, 2314, 2348, 2366, 2418, 2441, 2473]"
438,36,36,"[4, 25, 44, 51, 150, 169, 180, 250, 252, 344, 393, 397, 417, 423, 460, 501, 553, 574, 615, 659, 686, 695, 731, 762, 767, 792, 799, 824, 839, 840, 901, 921, 989, 1032, 1038, 1043, 1067, 1080, 1115, 1145, 1164, 1169, 1186, 1205, 1236, 1260, 1278, 1313, 1322, 1342, 1344, 1369, 1419, 1420, 1427, 1462, 1546, 1554, 1614, 1618, 1626, 1669, 1704, 1753, 1844, 1870, 1875, 1883, 1890, 1976, 1985, 1989, 2016, 2018, 2041, 2056, 2083, 2113, 2156, 2176, 2219, 2220, 2221, 2245, 2260, 2269, 2275, 2282, 2337, 2347, 2370, 2377, 2419, 2443, 2523, 2549, 2550, 2579, 2600, 2604, 2683, 2720, 2757, 2821, 2826, 2842, 2847, 2866, 2881, 2915, 2964, 3051, 3055, 3113, 3121, 3183, 3194, 3208, 3213, 3264, 3293, 3315, 3336, 3338, 3400, 3420, 3428, 3459, 3497, 3524, 3545, 3590, 3643, 3648, 3719, 3737, 3860, 3862, 3863, 3872, 3875, 3878, 3881, 3910, 3934, 3941, 3973, 4006, 4026, 4042, 4051, 4105, 4168, 4198, 4201, 4215, 4230, 4256, 4261, 4268, 4311, 4317, 4355, 4361, 4426, 4451, 4517, 4523]","[4, 25, 44, 250, 252, 344, 397, 417, 460, 553, 574, 686, 695, 762, 767, 792, 824, 839, 840, 901, 1038, 1043, 1080, 1115, 1186, 1205, 1313, 1342, 1419, 1427, 1554, 1614, 1704, 1753, 1870, 1875, 1883, 1976, 1985, 2018, 2041, 2083, 2113, 2156, 2176, 2219, 2221, 2275, 2337, 2347, 2419, 2443, 2523, 2550, 2600, 2604, 2683, 2720, 2821, 2842, 2847, 2964, 3113, 3293, 3336, 3400, 3420, 3459, 3545, 3590, 3719, 3737, 3862, 3878, 3881, 3973, 4026, 4051, 4105, 4201, 4215, 4230, 4256, 4361, 4517, 4523]"
507,42,42,"[5, 27, 50, 79, 85, 125, 134, 135, 140, 173, 184, 185, 197, 198, 224, 232, 235, 326, 335, 357, 385, 411, 545, 571, 608, 755, 756, 759, 856, 857, 903, 922, 957, 986, 1033, 1036, 1058, 1084, 1087, 1089, 1129, 1151, 1165, 1180, 1209, 1211, 1228, 1290, 1318, 1337, 1345, 1353, 1355, 1375, 1387, 1390, 1397, 1399, 1407, 1458, 1475, 1482, 1499, 1503, 1510, 1528, 1536, 1544, 1575, 1583, 1604, 1657, 1666, 1683, 1713, 1732, 1762, 1784, 1810, 1827, 1880, 1888, 1924, 1928, 1935, 1938, 1956, 1963, 1999, 2070, 2077, 2098, 2108]","[5, 46, 50, 134, 135, 184, 246, 306, 357, 385, 389, 411, 545, 571, 755, 856, 957, 1036, 1058, 1089, 1165, 1228, 1290, 1318, 1353, 1355, 1399, 1403, 1426, 1475, 1503, 1536, 1575, 1713, 1728, 1805, 1888, 1938, 1963, 1999, 2023, 2190, 2262, 2496, 2612, 2615, 2631, 2769, 2775, 2862, 2939, 2981, 2987, 3042, 3050, 3061, 3062, 3071, 3090, 3131, 3155, 3439, 3477, 3519, 3535, 3552, 3554, 3625, 3678, 3712, 3793, 3809, 3838, 3871, 3929, 4142, 4195, 4237, 4271, 4340, 4420, 4436, 4455, 4479]"
1341,41,41,"[6, 36, 48, 63, 94, 102, 126, 142, 145, 194, 203, 206, 227, 289, 291, 337, 352, 363, 367, 431, 478, 499, 511, 526, 533, 552, 558, 569, 588, 652, 662, 665, 689, 727, 734, 741, 757, 817, 853, 872, 886, 962, 974, 993, 994, 1015, 1019, 1054, 1056, 1065, 1096, 1097, 1168, 1171, 1240, 1343, 1384, 1422, 1423, 1429, 1431, 1434, 1436, 1464, 1530, 1537, 1572, 1577, 1584, 1591, 1636, 1663, 1674, 1697, 1747, 1783, 1838, 1874, 1884, 1917, 1921, 1931, 1942, 1943, 1957, 1991, 1993, 2005, 2008, 2022, 2030, 2032, 2039, 2065, 2067, 2082, 2084]","[6, 145, 194, 206, 291, 511, 526, 558, 569, 588, 665, 727, 853, 872, 1019, 1054, 1422, 1436, 1530, 1584, 1636, 1874, 1884, 1917, 1942, 1957, 1991, 2005, 2030, 2032, 2115, 2196, 2299, 2379, 2409, 2522, 2524, 2533, 2607, 2690, 2738, 2744]"
439,52,52,"[1, 7, 106, 133, 171, 187, 228, 233, 243, 274, 312, 328, 345, 398, 399, 408, 416, 428, 444, 445, 481, 512, 514, 530, 556, 572, 586, 609, 704, 711, 720, 723, 769, 781, 804, 819, 826, 828, 837, 881, 933, 945, 949, 964, 976, 988, 1012, 1013, 1024, 1070, 1082, 1132, 1163, 1173, 1195, 1204, 1235, 1248, 1255, 1258, 1270, 1321, 1330, 1376, 1417, 1418, 1425, 1443, 1472, 1512, 1655, 1658, 1667, 1694, 1708, 1716, 1720, 1742, 1766, 1788, 1799, 1807, 1828, 1865, 1898, 1912, 1922, 1929, 1968, 1988, 1994, 2027, 2049, 2076, 2134, 2159, 2169, 2210, 2215, 2258, 2290, 2351, 2362, 2378, 2384, 2392, 2403, 2407, 2417, 2424, 2477, 2479, 2497, 2543, 2548, 2554, 2568, 2594, 2619, 2637, 2685, 2692, 2696, 2703, 2759, 2761, 2804, 2877, 2882, 2897, 2898, 2905, 2942, 2954, 2961, 2986, 3023, 3032, 3077, 3082, 3097, 3126, 3136, 3158, 3177, 3178, 3218, 3232, 3266, 3281, 3304, 3312, 3323, 3324, 3339, 3342, 3398, 3415, 3424, 3549, 3557, 3559, 3564, 3622, 3630, 3631, 3655, 3675, 3713, 3716, 3721, 3733, 3734, 3744, 3831, 3850, 3865, 3907, 3908, 3951, 3993, 4056, 4115, 4127, 4135, 4158, 4186, 4187, 4207, 4223, 4231, 4259, 4263, 4273, 4274, 4283, 4301, 4318, 4341, 4358, 4373, 4400, 4432, 4473, 4493, 4494, 4495]","[7, 39, 40, 106, 133, 187, 228, 253, 328, 380, 408, 436, 514, 516, 555, 570, 692, 704, 769, 781, 1204, 1258, 1270, 1323, 1393, 1446, 1472, 1487, 1512, 1535, 1634, 1694, 1708, 1720, 1742, 1788, 1881, 1905, 1922, 1974, 1997, 2195, 2210, 2258, 2343, 2378, 2384, 2479, 2543, 2595, 2619, 2667, 2700, 2727, 2836, 3017, 3018, 3097, 3148, 3218, 3228, 3232, 3396, 3407, 3448, 3491, 3498, 3557, 3564, 3631, 3765, 3867, 4003, 4008, 4013, 4028, 4115, 4283, 4313, 4358, 4431, 4437, 4493, 4495, 4539]"
278,41,41,"[2085, 2115, 2133, 2138, 2168, 2196, 2206, 2224, 2237, 2286, 2299, 2352, 2357, 2379, 2409, 2445, 2509, 2514, 2522, 2524, 2533, 2582, 2607, 2609, 2671, 2690, 2738, 2744, 2750, 2756, 2777, 2873, 2896, 2922, 2925, 2931, 2949, 2960, 3011, 3027, 3041, 3080, 3083, 3105, 3122, 3128, 3129, 3147, 3153, 3159, 3164, 3173, 3216, 3254, 3383, 3409, 3443, 3499, 3547, 3573, 3598, 3603, 3606, 3646, 3657, 3775, 3777, 3830, 3870, 3887, 3891, 3895, 3900, 3959, 3992, 4016, 4043, 4121, 4146, 4203, 4232, 4252, 4260, 4307, 4308, 4326, 4333, 4354, 4392, 4417, 4439, 4474, 4476, 4502, 4532, 4543]","[8, 289, 993, 1429, 1993, 2048, 2116, 2203, 2237, 2274, 2352, 2628, 2651, 2750, 2756, 2925, 2931, 2949, 3027, 3044, 3122, 3147, 3152, 3153, 3173, 3216, 3383, 3409, 3657, 3777, 3830, 3891, 3895, 3959, 3992, 4116, 4232, 4294, 4307, 4439, 4444, 4502]"
166,31,31,"[9, 10, 17, 211, 225, 237, 307, 400, 457, 563, 581, 606, 685, 746, 788, 814, 823, 927, 928, 955, 1041, 1098, 1157, 1220, 1241, 1244, 1250, 1277, 1448, 1563, 1615, 1640, 1665, 1901, 1973, 2045, 2058, 2069, 2092, 2094, 2124, 2250, 2252, 2292, 2314, 2348, 2371, 2416, 2418, 2473, 2537, 2590, 2602, 2606, 2678, 2760, 2774, 2796, 2856, 2870, 2880, 2889, 2902, 2937, 2947, 2966, 3130, 3132, 3231, 3259, 3261, 3294, 3423, 3435, 3450, 3487, 3542, 3551, 3689, 3774, 3781, 3814, 3864, 3877, 3890, 3892, 3970, 3990, 3994, 4059, 4137, 4155, 4304, 4535, 4551, 4552, 4568]","[9, 17, 59, 307, 400, 503, 508, 565, 577, 679, 716, 721, 746, 765, 770, 777, 788, 862, 923, 927, 928, 966, 991, 1041, 1077, 1215, 1241, 1244, 1250, 1253, 1277, 1455, 1469, 1477, 1489, 1563, 1615, 1640, 1869, 1871, 1901, 1907, 1973]"
